sep=;
valueInCurrency;valueToReimburse;VatAvgRate;currency;dayInvoice;hourInvoice;dayCreation;hourCreation;Name_EN;merchantCountry;merchantCity;hasPhoto;MerchantName;Source;validated
6,94;6,94;null;EUR;Thursday;10;Thursday;15;Diner Hors RÃ©gion Parisienne;FR;null;false;null;11;0
16,5;16,5;9,3;EUR;Monday;11;Monday;15;Restaurant Province;FR;Nancy;false;Octavius Burger;12;0
87,72;87,72;null;EUR;Thursday;7;Thursday;7;INDEMINTES KILOMETRIQUES;FR;Nice;true;null;13;0
30,5;17;null;EUR;Thursday;19;Wednesday;9;Repas seul Soir Province;FR;null;false;null;11;0
550;550;20;EUR;Tuesday;10;Tuesday;19;Car Maintenance;FR;null;false;null;11;0
37,04;37,04;null;EUR;Wednesday;0;Friday;7;Mileage expense;FR;Saint-Denis-en-Val;true;null;13;0
50,91;50,91;null;EUR;Wednesday;11;Wednesday;11;Mileage expense;FR;Dardilly;true;null;13;0
91,95;91,95;null;EUR;Wednesday;10;Thursday;21;Misc;FR;Enghien;false;Enghien Les Ba;12;0
54,8;54,8;null;EUR;Tuesday;10;Wednesday;8;Hotel AriÃ¨ge / PO;FR;PERPIGNAN;false;BRIT HOTEL;11;0
36,8;36,8;null;EUR;Wednesday;10;Wednesday;16;Mileage expense;FR;Floirac;true;null;11;0
101,01;101,01;null;EUR;Thursday;10;Thursday;10;Mileage expense;FR;Eymoutiers;true;null;12;0
35,5;19;10;EUR;Wednesday;13;Friday;11;Lunch;FR;null;false;Le Saint-hubert;12;0
50,01;50,01;20;EUR;Tuesday;9;Tuesday;12;Essence;FR;Wasquehal;false;Esso;13;0
25;12,5;null;EUR;Thursday;11;Thursday;7;Train subscription;FR;null;false;null;11;0
80,4;80,4;null;EUR;Tuesday;10;Friday;6;KilomÃ¨tres;FR;Auch;true;null;11;0
10,8;10,8;null;EUR;Tuesday;10;Wednesday;6;Meals;FR;;false;Bonjour;12;0
16,2;16,2;null;EUR;Wednesday;22;Thursday;7;Mileage expense;FR;Chemin du Tram, Communay, France;false;null;11;0
78;78;null;EUR;Tuesday;10;Tuesday;8;Mileage expense;FR;Montpellier;true;null;11;0
26,38;26,38;null;EUR;Friday;11;Tuesday;16;Mileage expense;FR;Chessy;true;null;11;0
233,79;233,79;null;EUR;Friday;10;Friday;13;Mileage expense;FR;Corbie;true;null;11;0
23,21;23,21;null;EUR;Tuesday;5;Wednesday;5;Mileage expense;FR;Narbonne;true;null;12;0
32;32;null;EUR;Tuesday;11;Friday;8;PASTRY SANDWICH DRINKS;FR;null;false;null;11;0
550;550;null;EUR;Thursday;11;Thursday;11;Autres frais avec justificatif;FR;null;false;null;11;0
13,48;13,48;null;EUR;Thursday;11;Saturday;11;Mileage expense;FR;Loulay;false;null;11;0
18,96;18,96;null;EUR;Tuesday;7;Tuesday;7;RÃ©ception;FR;grand Quevilly;true;Super U;12;0
50;50;20;EUR;Sunday;14;Friday;12;Diesel;FR;Nanterre;false;Total;13;0
20;20;10;EUR;Tuesday;11;Tuesday;13;RESTAURATION SOIR PARIS/ BANLIEUE;FR;LIEUSAINT;false;null;11;0
1969;1969;null;EUR;Wednesday;0;Friday;17;Mileage expense;FR;PLEUBIAN;true;null;12;0
699,43;699,43;null;EUR;Friday;12;Friday;12;Mileage expense;FR;Guyancourt;true;null;13;0
30;9;null;EUR;Tuesday;10;Tuesday;9;Furnitures INMAC;FR;Versailles;false;Inmac-wstore;11;0
11,35;11,35;null;EUR;Thursday;13;Thursday;13;Public Transportation;FR;Barcelona;false;Metropolitain;12;0
162,34;162,34;10,7;EUR;Tuesday;11;Monday;16;Repas Province midi;FR;null;false;null;11;0
14,05;15;null;EUR;Tuesday;15;Thursday;12;Package meals;FR;;false;L'escale;13;0
76,83;76,83;null;EUR;Friday;10;Saturday;7;Mileage expenses;FR;Vannes;true;null;11;0
20,2;20,2;null;EUR;Wednesday;10;Wednesday;15;Taxi;FR;Paris;false;Mimi;13;0
14,8;14,8;20;EUR;Thursday;12;Monday;6;Dinner;FR;;false;Villa Regia Ke â‚¬;13;0
41,55;41,55;null;EUR;Thursday;8;Thursday;8;Mileage expense;FR;PRE SAINT EVROULT;true;null;13;0
21,5;21,5;null;EUR;Sunday;23;Monday;16;Mileage expense;FR;CrÃ©dit Agricole d'Aquitaine, Rue Robert Descorne, MonsÃ©gur, France;false;null;11;0
94;94;null;EUR;Monday;7;Monday;15;Avion, train, bateau;FR;Paris;false;Sncf;13;0
18;18;null;EUR;Wednesday;10;Wednesday;7;Dinner Province alone;FR;null;false;null;11;0
19,1;19,1;null;EUR;Tuesday;12;Thursday;15;RM - Forfait DÃ©jeuner;FR;;false;;12;0
19;19;null;EUR;Wednesday;11;Friday;13;RM - Forfait DÃ©jeuner;FR;null;false;null;11;0
35,33;35,33;null;EUR;Thursday;10;Friday;10;Mileage;FR;MaxÃ©ville;true;null;11;0
78;78;null;EUR;Saturday;13;Sunday;13;Train;FR;null;false;null;0;0
200,48;200,48;20;GBP;Monday;18;Monday;16;Lodging;GB;London;true;Hilton;null;0
24,12;24,12;20;EUR;Sunday;23;Tuesday;10;Various Supplies Purchase (not integ. with prod);FR;;true;;11;0
36;36;19,6;EUR;Wednesday;9;Monday;9;Equipment;FR;null;false;null;13;0
78,4;19,1;10;EUR;Thursday;13;Thursday;14;Lunch Hors Paris;FR;Lyon;false;Le Dandy;12;0
13,8;13,8;null;EUR;Saturday;11;Monday;15;Meals;FR;Paris;false;Sans Contact;null;0
90,4;90,4;null;EUR;Thursday;0;Wednesday;19;Mileage expense;FR;Peccavillers, Le Syndicat, France;false;null;13;0
322;322;null;EUR;Friday;11;Friday;10;Gift;FR;null;false;null;11;0
92,08;92,08;null;EUR;Friday;11;Thursday;6;Mileage expense;DE;PrÃ¼m;true;null;11;0
149,99;149,99;null;EUR;Thursday;11;Thursday;15;Teleworking Screen;FR;null;false;null;11;0
79;79;null;EUR;Tuesday;23;Monday;11;Frais gÃ©nÃ©raux - RECEPTIONS;FR;;true;85 Noirmoutier;12;0
76,07;76,07;null;EUR;Thursday;16;Friday;16;Frais kilomÃ©triques;FR;Moulins;true;null;12;0
44,78;44,78;null;EUR;Thursday;8;Thursday;8;Frais kilomÃ©triques;FR;Moulins;true;null;12;0
22;22;null;EUR;Wednesday;20;Monday;9;Train;FR;Paris;false;Mon Billet A Imprimer Ouigo;13;0
5;5;null;EUR;Thursday;10;Thursday;9;Train;FR;null;false;null;11;0
2,9;2,9;20;EUR;Friday;5;Sunday;17;Toll;FR;Marseille;false;Smtpc;12;0
32,8;32,8;null;EUR;Friday;11;Monday;10;Meals;FR;Toulouse;false;Le Toulouse;13;0
864,89;864,89;10;EUR;Wednesday;10;Thursday;14;Flight;ES;Paris;false;Iov;11;0
9,5;9,5;null;EUR;Monday;18;Thursday;9;Parking;FR;Ajaccio;true;Credit Mutuel;13;0
16,9;16,9;null;EUR;Monday;16;Monday;16;Transportation;FR;Paris;true;Ratp;13;0
22,01;22,01;null;EUR;Tuesday;11;Monday;16;Flight;FR;Bordeaux;false;Mcdonald's;11;0
7;7;20;EUR;Thursday;11;Friday;13;Parking;FR;null;false;null;11;0
7,8;7,8;null;EUR;Wednesday;7;Thursday;15;Parking;FR;Grenoble;false;DÃ©tails De La De;0;0
299;299;null;EUR;Thursday;11;Monday;12;Transportation;FR;null;false;null;11;0
85;85;5,5;EUR;Monday;10;Wednesday;9;Lodging;FR;Tarascon;false;HÃ´tel Du Cirque;13;0
13,8;18;5,5;EUR;Sunday;12;Sunday;10;Lunch CDS;FR;AlÃ¨s;false;Alex;13;0
57,2;57,2;null;EUR;Monday;11;Saturday;9;Transportation;FR;;false;Sncf;12;0
22,71;22,71;11,3;EUR;Thursday;11;Thursday;17;Evening meal - Province;FR;La Madeleine;false;Le Madeleine;12;0
936,8;936,8;null;EUR;Monday;10;Tuesday;14;Entertainment/activity;FR;null;false;null;11;0
15,79;15,79;null;EUR;Tuesday;11;Tuesday;16;Taxi;FR;null;false;null;11;0
23,3;23,3;10;EUR;Thursday;21;Thursday;21;MEALS - CUSTOMER INVITATION;FR;;false;;13;0
11,4;11,4;null;EUR;Tuesday;6;Wednesday;15;Metro / Bus;FR;Paris;false;Ratp;13;0
20;20;null;EUR;Wednesday;10;Tuesday;14;External seminars - colloques;FR;null;false;null;11;0
190,2;190,2;null;EUR;Tuesday;12;Thursday;19;HEBERGEMENT;FR;null;false;null;12;0
15,84;15,84;null;EUR;Tuesday;0;Tuesday;19;Mileage expense;FR;Dommartin-aux-Bois;true;null;13;0
14;14;null;EUR;Tuesday;4;Wednesday;4;Meal allowance;DE;null;false;null;11;0
16,4;16,4;null;EUR;Friday;4;Wednesday;21;Breakfast;FR;Paris;true;Starbucks;null;0
16,57;16,57;5,5;EUR;Friday;23;Friday;12;Capped Meat;FR;;false;Carrefour;13;0
4,95;4,95;19,9;EUR;Friday;14;Monday;11;Misc;FR;Castelsarrasin;false;Bonjour;13;0
26,33;26,33;10;EUR;Monday;13;Thursday;10;Meals;FR;Avignon;false;Axelle;13;0
8,88;8,88;null;EUR;Thursday;0;Thursday;15;Mileage expense;FR;Libourne;true;null;13;0
63,7;63,7;null;EUR;Friday;7;Friday;7;Transportation;FR;;false;La RÃ©gion;13;0
15;15;null;EUR;Sunday;10;Sunday;20;Transportation;FR;null;false;null;11;0
