sep=;
valueInCurrency;valueToReimburse;VatAvgRate;currency;dayInvoice;hourInvoice;dayCreation;hourCreation;Name_EN;merchantCountry;merchantCity;hasPhoto;MerchantName;Source;validated
102,53;102,53;null;EUR;Friday;11;Friday;11;Mileage expense;FR;Soyaux;true;null;12;0
88,34;88,34;null;EUR;Thursday;11;Thursday;15;Mileage expense;FR;Lattes;false;null;11;0
35,67;35,67;20;EUR;Wednesday;10;Monday;7;Equipment;FR;null;false;null;11;0
2589,2;2589,2;null;EUR;Friday;10;Saturday;10;Equipment;FR;Bordeaux;false;Sancassiani;0;0
70,2;70,2;null;EUR;Wednesday;11;Wednesday;11;Parking;FR;null;false;null;11;0
4,51;4,51;null;USD;Tuesday;14;Tuesday;13;Breakfast;US;Temple;false;Sarah Temple;13;0
70,7;70,7;1,674;EUR;Tuesday;12;Tuesday;17;Restauration;FR;Orvault;true;Le Scaramouche;11;0
26,67;26,67;20;EUR;Tuesday;22;Friday;6;Phone;FR;Paris;false;Bouygues;0;0
43;43;null;CHF;Tuesday;13;Wednesday;13;Catering with proof;CH;;false;;13;0
1,4;1,4;7;EUR;Thursday;16;Friday;10;Transportation;DE;;true;Hinweis Eigenanteil;13;0
29,74;29,74;null;EUR;Thursday;1;Tuesday;17;Online application subscription;IE;null;true;null;11;0
75,15;75,15;null;TWD;Sunday;14;Thursday;9;Phone;CN;;false;Cfiungliwalelecom;13;0
19,99;19,99;20;EUR;Tuesday;0;Wednesday;9;Phone;FR;Bordeaux;false;Orange;5;0
65,86;65,86;null;EUR;Wednesday;0;Wednesday;19;Frais kilometriques;FR;Venelles;true;null;12;0
252,34;252,34;null;EUR;Thursday;10;Thursday;11;Mileage expense;FR;null;true;null;11;0
32,4;32,4;null;EUR;Tuesday;10;Wednesday;9;Mileage expense;FR;Lambesc;false;null;11;0
3,4;3,4;null;EUR;Sunday;11;Wednesday;8;Transportation;DE;Hamburg;true;Einzelkarte;12;0
59;59;null;EUR;Sunday;12;Thursday;5;Sports subscription;FR;null;false;null;11;0
8,6;8,6;20;EUR;Tuesday;12;Tuesday;18;Toll;FR;;false;Asf;13;0
21,58;21,58;null;EUR;Thursday;12;Monday;12;Meals;FR;;false;;13;0
72,31;72,31;null;EUR;Thursday;10;Thursday;11;Mileage expenses;FR;Toulouse;true;null;11;0
173,15;173,15;20;EUR;Thursday;5;Friday;7;CARS;FR;;true;Point s;12;0
31;31;null;EUR;Tuesday;10;Monday;13;Customer invitation - except restaurant;FR;null;false;null;11;0
59;59;null;EUR;Tuesday;11;Friday;12;Meals;FR;;false;Pizza Cesena Mt;null;0
158,79;150;null;EUR;Monday;10;Tuesday;14;Lunch formations;FR;Nice;false;Uber;13;0
66,7;33,35;null;EUR;Friday;11;Friday;13;Transport;FR;null;false;null;11;0
3,45;3,45;5;EUR;Tuesday;11;Tuesday;8;Meals;DE;Hamburg;true;Von Alworden;12;0
159,99;159,99;null;EUR;Saturday;12;Tuesday;9;Equipment;FR;null;false;null;11;0
349,99;175;null;EUR;Tuesday;10;Tuesday;12;Installation tÃ©lÃ©travail;FR;null;false;null;11;0
72,83;72,83;null;EUR;Thursday;11;Friday;10;Taxi;FR;null;false;null;11;0
5;5;null;EUR;Thursday;11;Monday;9;Welcome coffee;FR;Aire;false;Station Bp;13;0
178,69;178,69;null;GBP;Wednesday;0;Thursday;15;Hotel Capitales;GB;London;true;Room Number K1;11;0
26,99;26,99;20;EUR;Tuesday;23;Saturday;4;INTERNET;FR;null;false;null;13;0
35,59;35,59;null;EUR;Wednesday;12;Thursday;13;Frais kilomÃ©triques;FR;Belley;true;null;13;0
73,87;73,87;null;EUR;Tuesday;11;Tuesday;12;Frais kilomÃ©triques;FR;Ugine;true;null;13;0
14,88;14,88;null;EUR;Monday;0;Monday;20;Frais kilomÃ©triques;FR;Ã‰cully;true;null;12;0
1,5;1,5;null;EUR;Tuesday;10;Friday;8;Home office;FR;null;false;null;11;0
210,51;210,51;null;EUR;Monday;10;Monday;12;Mileage expense;FR;CREDIT AGRICOLE, Square Pierre Corneille, Plabennec, France;true;null;11;0
620,16;620,16;null;EUR;Friday;11;Friday;14;Mileage expense;FR;Huelgoat;true;null;11;0
37;37;11,2;EUR;Sunday;11;Friday;16;Meals;FR;null;true;Chez Tonino 94220 Charenton;12;0
60,6;60,6;10;EUR;Friday;10;Friday;7;Meals;FR;null;false;Bar De La Mairie;12;0
27;27;20;EUR;Wednesday;7;Friday;15;Internet/Phone;FR;;true;Souhaitez  Contactor Ou;12;0
119;119;0;EUR;Wednesday;11;Thursday;16;Transport;FR;Paris;false;Hh Consulter Ã‰changer Ou;13;0
663592;663592;0,756;EUR;Wednesday;22;Thursday;13;Transport fees;FR;Paris;true;Airfrance;11;0
24,51;24,51;null;EUR;Friday;10;Wednesday;7;Mileage expense;FR;Decazeville;true;null;11;0
121,38;121,38;null;EUR;Friday;10;Thursday;11;Mileage expense;FR;Le Sequestre;true;null;11;0
590,07;590,07;null;EUR;Thursday;11;Thursday;14;Mileage expense;FR;MONTAUBAN;true;null;11;0
269,06;269,06;null;EUR;Saturday;11;Saturday;12;Mileage expense;FR;Puylaurens;false;null;11;0
61,91;61,91;null;EUR;Tuesday;10;Tuesday;13;Mileage expense;FR;Albi;true;null;11;0
110,46;110,46;null;EUR;Friday;10;Thursday;10;Mileage expense;FR;Villefranche-de-Rouergue;true;null;11;0
10,7;10,7;20;EUR;Friday;10;Friday;8;Toll;FR;Bourg LÃ¨s Valence;false;Asf;13;0
100;100;null;EUR;Wednesday;0;Tuesday;7;Contribution Alternant;FR;;false;;13;0
56,96;56,96;20;EUR;Monday;3;Monday;17;Office supplies;FR;Villiers;false;Carrefour;13;0
16,8;16,8;null;EUR;Thursday;15;Thursday;15;Flat-rate indemnities;DE;null;false;null;11;0
16,5;16,5;10;EUR;Thursday;13;Tuesday;12;Repas midi Paris et grandes villes;FR;Rennes;false;Au Comptoir VÃ©nitien;13;0
78;78;10;EUR;Thursday;13;Wednesday;15;Lunch / Province;FR;Roche La Moliere;false;Yami;13;0
23,9;20;1,974;EUR;Tuesday;12;Friday;13;Lunch / Province;FR;Saint Ã‰tienne;false;Le Glasgow;11;0
43,8;43,8;12,2;EUR;Friday;12;Friday;12;Invit  Client;FR;BÃ©thune;false;Oneshot Brewpub;13;0
32,33;32,33;13,4;EUR;Tuesday;20;Thursday;9;Meals - dinner;FR;Paris;false;Mamie Burger;13;0
53;53;null;EUR;Friday;11;Sunday;18;15-Representation, entertainment and reception expenses;FR;null;false;null;11;0
10;10;null;EUR;Thursday;12;Thursday;13;Vehicle maintenance;FR;Toulouse;false;Le Toulouse;13;0
23,98;23,98;null;EUR;Thursday;20;Wednesday;14;Public transport;FR;Lyon;false;Anndes Personneses Sur Le Sufu Poco D'une Oft;13;0
65,64;65,64;null;EUR;Monday;10;Monday;7;Mileage expense;FR;Mulhouse;true;null;11;0
77,2;77,2;null;EUR;Tuesday;11;Wednesday;15;Toll;FR;null;true;null;11;0
104;104;null;EUR;Friday;10;Monday;15;Transportation;FR;Paris;false;Sncf;13;0
216,24;216,24;null;EUR;Tuesday;10;Tuesday;9;Office furniture;FR;null;false;null;11;0
399;399;null;EUR;Tuesday;10;Tuesday;13;Transportation;FR;null;false;null;11;0
8;6;null;EUR;Wednesday;10;Friday;13;Home Office;FR;null;false;null;11;0
70;70;null;EUR;Thursday;0;Friday;15;car maintenance;FR;Saint Quentin;true;Lav'net Picard;13;0
35,96;35,96;20;GBP;Tuesday;8;Wednesday;8;Carburant;GB;Birmingham;true;Euro Garages;12;0
61,82;61,82;20;EUR;Thursday;6;Friday;6;Diesel;FR;;false;Auchan;13;0
6,55;6,55;null;EUR;Thursday;13;Thursday;19;Taxi;ES;Madrid;false;Uber;12;0
109,5;109,5;null;EUR;Thursday;12;Wednesday;11;miscellaneous agency fees;FR;null;false;null;11;0
22,8;22,8;null;EUR;Wednesday;12;Monday;0;Transport en commun;FR;Paris;true;;12;0
125;125;null;EUR;Wednesday;11;Wednesday;14;IT Licence;FR;;false;Prismic;0;0
5,51;5,51;20;EUR;Monday;0;Monday;9;IT Licence;FR;Issy Les Moulineaux;false;Microsoft;11;0
31,15;31,15;null;EUR;Thursday;11;Thursday;11;Meals;FR;null;false;null;13;0
51,7;51,7;11,6;EUR;Tuesday;13;Monday;16;Repas - Invitations;FR;Aix En Provence;false;Bio & C La Table Aix-en-provence;13;0
18,85;16,5;null;EUR;Thursday;12;Tuesday;8;Lunch (Province);FR;null;false;null;11;0
17,9;16,5;null;EUR;Friday;12;Friday;12;Lunch (Province);FR;null;false;null;11;0
400;400;null;EUR;Saturday;9;Monday;8;Car rental;FR;CrÃ©teil;false;X 01 76 54 05 14 Contrat De Location;12;0
2,99;1,5;null;EUR;Thursday;11;Monday;17;Phone subscription;FR;null;true;null;null;0
14,38;14,38;null;EUR;Friday;10;Saturday;7;Mileage expense;FR;Annecy;true;null;11;0
1332,55;1332,55;0;EUR;Thursday;12;Friday;8;Ticketing;FR;La Teste De Buch;false;UmÃ©ro Du 21;13;0
61,23;61,23;20;EUR;Monday;0;Thursday;7;Miscellaneous;FR;Saint Priest;false;Bitzer;13;0
4,5;4,5;null;EUR;Wednesday;10;Tuesday;22;LV - Lavage vÃªtements de travail;FR;null;false;null;11;0
135,49;135,49;null;EUR;Friday;14;Friday;14;Mileage expense;FR;Laxou;true;null;12;0
92,81;92,81;null;EUR;Tuesday;10;Monday;9;Mileage expense;FR;Bar-le-Duc;true;null;11;0
89,92;89,92;null;EUR;Wednesday;11;Tuesday;16;Phone;DE;null;false;null;11;0
44,4;44,4;null;EUR;Tuesday;11;Wednesday;13;Lunch;FR;null;false;null;11;0
19,4;19,4;null;EUR;Wednesday;12;Thursday;10;Restaurant Lunch;FR;;false;CrÃªperie;12;0
682;682;null;EUR;Monday;8;Monday;8;car allowance;FR;null;false;null;13;0
79,07;79,07;null;EUR;Friday;10;Tuesday;19;12-Legal Documents;FR;null;false;null;11;0
111,4;111,4;null;EUR;Tuesday;3;Wednesday;7;Lodging;FR;Saint Ã‰tienne;true;Le Saint-Ã©tienne;13;0
1,6;1,6;null;EUR;Monday;10;Saturday;9;Postal charges;FR;;true;La Poste;null;0
146,55;146,55;25;EUR;Saturday;14;Saturday;17;Services;HR;Zagreb;false;Pet Centar;13;0
22;22;20;EUR;Wednesday;11;Wednesday;12;Random;FR;null;false;null;11;0
10,2;10,2;null;EUR;Tuesday;12;Tuesday;12;Flight;FR;null;false;null;null;0
51,76;51,76;17,4;EUR;Monday;0;Wednesday;5;Meals;BE;;true;Berko;13;0
17,54;17,54;null;GBP;Wednesday;9;Wednesday;11;Fuell;GB;Macclesfield;false;Coop;12;0
1,9;1,9;null;EUR;Thursday;12;Thursday;16;Transportation;FR;Paris;false;Ratp;13;0
38,64;38,64;null;EUR;Tuesday;11;Thursday;10;Mileage expense;FR;Ã‰vreux;true;null;11;0
76,46;76,46;null;EUR;Friday;11;Friday;16;Mileage expense;FR;50 Rue des Martyrs, 76500 Elbeuf, France;true;null;11;0
13,45;13,45;null;EUR;Tuesday;11;Tuesday;11;Mileage expense;FR;Routot;true;null;11;0
110,2;110,2;11,1;EUR;Thursday;12;Tuesday;13;Meals on duty;FR;null;false;null;12;0
100,91;100,91;21;EUR;Friday;10;Thursday;13;Misc;ES;Valencia;false;Electricidad Orozco;12;0
43,98;43,98;10;EUR;Sunday;14;Wednesday;12;Meals;FR;;false;Disneyland Paris;null;0
9,3;9,3;null;EUR;Wednesday;12;Saturday;11;take away;FR;Bordeaux;false;Shop Bordeaux Meriadek St;12;0
20,6;18;null;EUR;Saturday;11;Monday;12;Lunch Province alone;FR;Villeurbanne;false;De L'Ã©tablissement;13;0
27,6;27,6;10;EUR;Wednesday;10;Wednesday;10;Lunch province;FR;La Defense;false;It La Defense;12;0
3,8;3,8;null;EUR;Tuesday;11;Thursday;8;Public transport;FR;null;false;null;11;0
75,2;75,2;null;EUR;Saturday;10;Saturday;10;Transportation;FR;Paris;false;Ratp;13;0
95,7;95,7;null;EUR;Thursday;7;Thursday;7;Lodging out of Neuilly;FR;Bordeaux;false;;12;0
67,84;67,84;null;EUR;Friday;14;Friday;14;Mileage expense;FR;Wittelsheim;true;null;12;0
1,5;1,5;null;EUR;Friday;18;Friday;18;Water (utility);IT;;true;Natoo;13;0
14,97;14,97;null;EUR;Tuesday;23;Thursday;10;Mileage expense;BE;HERSEAUX Gare/Station, Mouscron, Belgique;true;null;11;0
45,47;45,47;20;EUR;Friday;10;Thursday;8;FUEL;FR;Longuenesse;false;Auchan;12;0
459;459;null;EUR;Sunday;11;Thursday;21;Equipment;NO;Oslo;false;Remarkable;0;0
11,45;11,45;null;EUR;Tuesday;13;Thursday;7;Misc;FR;null;false;Maestro;11;0
5,1;5,1;5,5;EUR;Sunday;0;Monday;6;Reception;FR;;true;;12;0
43,06;43,06;16,4;EUR;Tuesday;11;Tuesday;17;AUTRES DEPENSES;FR;PARIS;false;null;11;0
304,28;304,28;null;AED;Sunday;8;Sunday;6;Dinner;AE;null;false;null;11;0
30;30;null;EUR;Tuesday;11;Monday;16;DINNER (SINGLE);PT;null;false;null;11;0
13,6;13,6;null;EUR;Tuesday;17;Friday;6;Parking;FR;AlÃ¨s;false;EntrÃ¨ves;11;0
14,77;14,77;null;EUR;Thursday;11;Thursday;19;1- Lunch France;FR;null;false;null;11;0
20;20;20;EUR;Tuesday;23;Wednesday;10;Equipment;FR;Saint Nazaire;false;Breiz;12;0
37,5;37,5;null;EUR;Thursday;10;Thursday;8;Bike Expense;FR;null;false;null;11;0
15;15;null;EUR;Monday;10;Saturday;13;Lunch;ES;madrid;false;LA tagliatela;11;0
465,28;465,28;10;EUR;Saturday;11;Thursday;9;Dual residence allowance;FR;null;false;La Rimbertiere;11;0
16;16;null;EUR;Tuesday;12;Tuesday;13;Car maintenance;FR;Reims;false;Sun Car Reims;13;0
100,91;100,91;null;EUR;Friday;10;Tuesday;14;Mileage expense;FR;Seyssel;true;null;11;0
52,7;52,7;null;EUR;Wednesday;11;Tuesday;16;INDEMINTES KILOMETRIQUES;FR;Bargemon;true;null;11;0
41,38;41,38;null;EUR;Thursday;9;Saturday;9;INDEMINTES KILOMETRIQUES;FR;Draguignan;true;null;12;0
5,9;5,9;8,9;EUR;Monday;11;Monday;16;Meals;FR;La Roche Sur Yon;true;Le Fournil Vendeen;12;0
447,13;447,13;null;EUR;Tuesday;10;Wednesday;8;Mileage expense;FR;Buxerolles;true;null;11;0
9,8;9,8;null;EUR;Saturday;10;Thursday;9;Frais kilomÃ©trique;FR;41 Rue du Nid de Pie, 49000 BeaucouzÃ©, France;true;null;11;0
40,6;13;null;EUR;Saturday;0;Monday;11;Meals (flat);FR;;true;Chez Manu;12;0
71,7;71,7;null;EUR;Wednesday;10;Monday;11;Reception;FR;Paris;false;Le CafÃ© De Pauline;11;0
29,79;29,79;null;EUR;Saturday;10;Saturday;12;19-Dinner;FR;null;false;null;11;0
85,21;85,21;null;EUR;Thursday;16;Thursday;16;Mileage expense;FR;Angers;true;null;13;0
11,8;11,8;null;EUR;Wednesday;6;Friday;17;Hostel Soiree etape;FR;Nantes;false;Ibis;13;0
20,4;20,4;null;EUR;Monday;6;Monday;7;TRANSPORT - PUBLIC TRANSPORT;FR;saint brieuc;false;Sans Contact;12;0
62;62;47,6;EUR;Thursday;11;Thursday;11;Phone;FR;null;false;null;null;0
35,07;35,07;null;EUR;Tuesday;12;Monday;11;Equipment;FR;Levallois Perret;false;Cdiscount- Cdiscount. Com- Cdiscount Pro - 3w Regi;11;0
9,4;9,4;null;EUR;Monday;12;Monday;7;PRIME PANIER;FR;null;false;null;11;0
9,3;9,3;null;EUR;Monday;12;Monday;18;PRIME PANIER;FR;null;false;null;12;0
8,5;8,5;20;EUR;Tuesday;10;Wednesday;7;Parking;FR;null;false;null;11;0
71,5;71,5;null;EUR;Saturday;11;Saturday;11;Parking;FR;null;false;null;11;0
12,8;12,8;0,394;EUR;Thursday;23;Thursday;10;Meals;FR;Paris;true;Paul;12;0
99,99;99,99;20;EUR;Friday;13;Wednesday;8;Equipment;FR;Paris;false;Fnac;12;0
202;202;20;EUR;Thursday;10;Tuesday;7;Supply;FR;null;false;The Outnet;0;0
15;15;null;EUR;Thursday;12;Thursday;16;Repas midi;FR;Longuenesse;false;;12;0
225;225;null;EUR;Friday;9;Friday;11;Outsider meal;FR;Bayonne;false;La Bonne France;13;0
14,8;14,8;null;EUR;Wednesday;12;Wednesday;14;Flight, Train;FR;;false;IssÃ©s TissÃ©o TissÃ©o;13;0
410;410;18;TND;Wednesday;11;Wednesday;13;Flight;TN;null;false;null;null;0
12,5;12,5;10;EUR;Friday;9;Friday;7;Business Lunch;FR;null;false;TÃ©l Bureau;12;0
235,76;235,76;null;EUR;Wednesday;11;Wednesday;17;Lodging;FR;null;false;null;11;0
16;16;null;EUR;Wednesday;10;Thursday;8;Meals;FR;null;false;null;11;0
20,6;16;11,7;EUR;Friday;11;Friday;13;Meals;FR;Strasbourg;false;Bar De L'europe;13;0
16;16;null;EUR;Friday;11;Saturday;7;Meals;FR;null;false;null;11;0
144,98;144,98;16;EUR;Tuesday;11;Tuesday;16;B - Fournitures de bureau;FR;null;false;null;11;0
87,04;87,04;null;EUR;Tuesday;10;Thursday;9;Mileage expenses;FR;Marseille;true;null;11;0
213,86;213,86;20;EUR;Wednesday;12;Monday;13;Phone;FR;Paris;false;Orange;11;0
112,19;112,19;9,8;EUR;Wednesday;13;Wednesday;13;Equipment;FR;null;false;Leclerc;11;0
39,65;39,65;null;EUR;Tuesday;12;Tuesday;8;Meals;FR;Sallanches;false;Carrefour;12;0
98,4;98,4;null;EUR;Friday;10;Saturday;8;Mileage expense;FR;Montargis;true;null;11;0
60,74;60,74;null;EUR;Wednesday;11;Wednesday;13;Mileage expense;FR;SULLY SUR LOIRE;true;null;11;0
23,4;23,4;20;EUR;Friday;12;Sunday;14;Toll;FR;;false;Autoroutes 07;13;0
10;10;10;EUR;Friday;7;Tuesday;9;public transport;FR;Montpellier;false;Transports De L'agglomeration De Montpellier;11;0
74,8;50;2,692;EUR;Wednesday;12;Thursday;8;Meals;FR;null;false;Le Victor Hugo;11;0
75,2;75,2;null;EUR;Friday;11;Sunday;17;Transportation;FR;Madeleine;false;Ratp;13;0
120,91;120,91;null;EUR;Friday;0;Friday;16;Mileage expense;FR;BesanÃ§on;true;null;12;0
2,99;2,99;20;EUR;Wednesday;12;Thursday;11;Repas Midi Autres RÃ©gions;FR;Villeneuve D'ascq;false;Meilleure;13;0
11,35;11,35;10;EUR;Wednesday;12;Saturday;13;Repas Midi Autres RÃ©gions;FR;null;false;Les DÃ©lices;11;0
18,5;18,5;10;EUR;Wednesday;12;Tuesday;12;Repas Midi Autres RÃ©gions;FR;Paris;false;Europcar;13;0
14,5;14,5;10;EUR;Monday;14;Sunday;10;Repas Midi Autres RÃ©gions;FR;Pontarlier;false;La Pinte Comtoise;13;0
25;25;10;EUR;Monday;10;Saturday;14;Repas Midi Autres RÃ©gions;FR;null;false;Restaurant AndrÃ©;11;0
13,9;13,9;10;EUR;Thursday;11;Friday;11;Repas Midi Autres RÃ©gions;FR;DÃ©cines Charpieu;true;Ninkasi;13;0
10;10;10;EUR;Wednesday;14;Wednesday;11;Repas Midi Autres RÃ©gions;FR;;false;GÃ©nÃ©ral De Gaulle;13;0
27,39;27,39;7,4;EUR;Friday;12;Friday;10;Repas Midi Autres RÃ©gions;FR;Levallois Perret;false;Frichti;13;0
15,9;10;10;EUR;Tuesday;11;Tuesday;16;Repas Midi Autres RÃ©gions;FR;Ivry Sur Seine;false;Uber;11;0
6;6;null;EUR;Thursday;11;Thursday;10;Misc;FR;null;false;null;11;0
182,27;150;null;EUR;Friday;1;Saturday;7;Telecommuting Equipment Costs;FR;null;false;null;11;0
109,99;109,99;null;EUR;Thursday;10;Thursday;13;Telecommuting Equipment Costs;FR;null;false;null;11;0
94,99;94,99;null;EUR;Tuesday;10;Tuesday;14;Telecommuting Equipment Costs;FR;null;false;null;11;0
25,8;25,8;1,881;EUR;Friday;12;Saturday;10;Evening meal - Province;FR;Bondues;false;Bondues;11;0
10,2;10,2;10;EUR;Monday;8;Monday;8;Meals;FR;;false;Paul;12;0
58,5;58,5;null;EUR;Wednesday;10;Monday;9;Meals;FR;null;false;null;11;0
17,5;17,5;10;EUR;Friday;11;Monday;15;EVENING MEAL;FR;null;false;null;11;0
16,92;13,15;null;EUR;Friday;10;Wednesday;12;Restaurant, reception, show, exhibition expenses for the benefit of employees or company managers;FR;;true;Leclerc;13;0
11,3;11,3;10;EUR;Saturday;14;Saturday;12;Restaurant, reception, show, exhibition expenses for the benefit of employees or company managers;FR;Torcy;false;Kfc;13;0
571,78;571,78;null;EUR;Monday;10;Wednesday;12;Purchase of small NON IT equipment;FR;Sartrouville;false;Groupefacility;11;0
202,8;202,8;null;EUR;Friday;18;Monday;12;Purchase of small NON IT equipment;FR;Villebon Sur Yvette;false;Jm Bruneau;11;0
45,82;45,82;10;EUR;Tuesday;22;Thursday;9;CUSTOMER INVITATION;FR;;false;Tick N' Bal M 1 Cmune;12;0
19,44;19,44;null;EUR;Thursday;15;Tuesday;12;Postal charges;FR;Paris;true;La Poste;12;0
69;69;null;EUR;Thursday;11;Friday;9;IT equipment;FR;null;false;null;11;0
1,87;1,87;null;EUR;Saturday;10;Friday;15;Mileage expense;FR;Saint-Leu-la-ForÃªt;true;null;11;0
75,77;75,77;10;EUR;Friday;11;Wednesday;12;Lodging;FR;OrlÃ©ans;false;Hotels.com;11;0
49,09;49,09;null;EUR;Wednesday;12;Wednesday;8;Equipment;FR;;true;Samsung;12;0
23,63;23,63;null;EUR;Thursday;13;Tuesday;9;Tea/coffee/water;FR;null;false;lidl 2236;11;0
14,1;14,1;null;EUR;Thursday;11;Friday;11;AUTOROUTE;FR;Bourg-en-Bresse;false;;12;0
11,19;11,19;null;GBP;Monday;12;Friday;21;Dinner;GB;London;false;Fishcotheque;11;0
22;22;null;EUR;Thursday;10;Thursday;14;Dinner;FR;null;false;null;11;0
8,62;8,62;null;EUR;Wednesday;10;Wednesday;10;Mileage expense;FR;Gonesse;true;null;11;0
20;20;null;EUR;Wednesday;11;Friday;10;AUTRES TRANSPORTS;FR;null;false;null;11;0
23,99;23,99;20;EUR;Friday;11;Monday;8;Desk furnitures;FR;Metz;false;SÃ©bastopol;13;0
150;150;null;EUR;Thursday;11;Thursday;10;Location Logiciel;FR;null;false;null;11;0
54,9;54,9;null;EUR;Saturday;12;Monday;18;Supply and small maintenance;FR;blain;false;;12;0
7,58;7,58;null;EUR;Thursday;11;Thursday;13;Mileage expense;FR;Quimper;true;null;11;0
108,12;108,12;null;EUR;Thursday;13;Friday;4;Customers gifts > 69â‚¬ TTC;FR;;false;Leclerc;12;0
3,75;3,75;20;EUR;Thursday;17;Friday;7;Meals;FR;Aire;false;Utoroute A75 Aire D' Authezat;12;0
199,99;100;null;EUR;Monday;11;Monday;12;Homeoffice;FR;null;false;null;11;0
148,54;74,27;null;EUR;Monday;16;Monday;15;Homeoffice;FR;saint MandÃ©;true;;12;0
151,77;151,77;20;EUR;Wednesday;10;Monday;8;Car;FR;null;false;null;11;0
13;13;20;EUR;Monday;2;Tuesday;13;Services;FR;Les Lilas;true;Association Francaise Pour Le Developpement Des Se;11;0
61,23;61,23;null;EUR;Wednesday;10;Wednesday;13;Mileage expense;FR;Portes-lÃ¨s-Valence;true;null;11;0
35,99;35,99;null;EUR;Thursday;14;Thursday;16;Internet;FR;;false;Orange;13;0
43,25;43,25;null;EUR;Monday;12;Monday;12;Reception expenses;FR;null;false;null;13;0
64,42;64,42;null;EUR;Monday;11;Monday;11;Mileage expense;FR;Le Relecq-Kerhuon;true;null;11;0
15,25;15,25;null;EUR;Tuesday;10;Thursday;11;Mileage expense;FR;Gradignan;true;null;11;0
21,48;21,48;null;EUR;Friday;10;Wednesday;13;Mileage expense;FR;QUIMPER;true;null;11;0
21,73;21,73;null;EUR;Wednesday;10;Friday;16;Mileage expense;FR;HUELGOAT;true;null;11;0
22,23;22,23;null;EUR;Wednesday;10;Wednesday;15;Mileage expense;FR;Merdrignac;true;null;11;0
117,53;117,53;null;EUR;Wednesday;0;Wednesday;8;Mileage expense;FR;Nantiat;true;null;12;0
79,36;79,36;null;EUR;Sunday;10;Thursday;8;Mileage expense;FR;Cesson-SÃ©vignÃ©;true;null;11;0
20,61;20,61;null;EUR;Thursday;10;Thursday;9;Mileage expense;FR;Auray;true;null;11;0
229,12;229,12;null;EUR;Thursday;10;Friday;16;Petit outillage et agencement;FR;Douai;false;Leroy Merlin;13;0
11;11;10;EUR;Saturday;22;Thursday;10;Meals;ES;null;false;La Maleta;11;0
61,7;61,7;10;EUR;Friday;9;Monday;15;DÃ©placements;FR;Paris;true;Ly Heng;11;0
19,5;19,5;null;EUR;Thursday;8;Friday;6;REPAS PARIS MIDI;FR;null;false;null;13;0
14,18;14,18;null;EUR;Friday;10;Tuesday;14;Lunch CEAPC;FR;null;false;null;11;0
18,74;18,74;null;EUR;Thursday;10;Friday;9;Mileage expense;FR;Plobsheim;true;null;11;0
90,01;90,01;null;EUR;Tuesday;6;Wednesday;6;Mileage expense;FR;Strasbourg;true;null;12;0
49,5;49,5;1,768;EUR;Thursday;10;Tuesday;12;Diner LVAN;FR;Blois;false;Campanile;11;0
94,3;94,3;20;EUR;Monday;17;Thursday;17;Fuel;FR;Rillieux La Pape;false;Carrefour;13;0
15,48;15,48;null;EUR;Monday;12;Tuesday;9;Taxi;FR;Rueil Malmaison;true;Uber;0;0
10,5;10,5;null;EUR;Monday;22;Friday;6;Lunch province;FR;null;false;14  De Ia Pelleterie;11;0
11,3;11,3;10;EUR;Tuesday;10;Friday;14;Lunch province;FR;;false;Swan Riguidel Amp Salles;13;0
6,5;6,5;5,5;EUR;Sunday;11;Monday;18;Lunch province;FR;Villeurbanne;false;Le Luxembourg;13;0
23,8;18;5,5;EUR;Wednesday;10;Monday;7;Lunch province;FR;Chalon Sur SaÃ´ne;false;O Sole Mio;13;0
21,15;21,15;null;EUR;Tuesday;9;Tuesday;9;Transportation;FR;;false;;12;0
19,8;19,8;null;EUR;Wednesday;19;Wednesday;14;HOTEL PROVINCE;FR;Bourg En Bresse;false;Ibis Hotels;11;0
144,82;144,82;20;EUR;Wednesday;11;Thursday;9;Car;FR;Strasbourg;false;Milton Location De Voitures Sas;11;0
1,1;1,1;null;EUR;Monday;13;Wednesday;13;Parking;FR;Pavillons Sous Bois;false;Findi;13;0
39,6;39,6;20;EUR;Thursday;17;Friday;8;Parking;FR;Paris;true;Indigo;13;0
40,2;20;7,6;EUR;Monday;12;Monday;17;Lunch - Province;FR;;true;Les ChÃ¢taigniers;12;0
23,3;19,85;null;EUR;Wednesday;18;Friday;7;Repas soir hors dÃ©partement 29;FR;rennes;true;Marius;12;0
191,4;191,4;13;EUR;Thursday;12;Thursday;12;Meal - Dinner;PT;;false;;13;0
14;14;20;EUR;Thursday;8;Thursday;13;Parking;FR;Lyon;false;Mcdo;11;0
18,2;18,2;null;EUR;Thursday;13;Tuesday;21;Lunch outside Spain;FR;Puteaux;false;Cojean;13;0
12;12;null;EUR;Tuesday;10;Tuesday;13;Dinner package;FR;null;false;null;11;0
19;19;null;EUR;Saturday;10;Thursday;14;Meals;FR;BÃ©ziers;false;De L'Ã©tablissement;13;0
35,34;35,34;null;EUR;Friday;10;Friday;8;Mileage expense;FR;Libourne;false;null;11;0
203,7;203,7;null;EUR;Wednesday;10;Wednesday;11;Mileage expense;FR;Saint-Symphorien;false;null;11;0
109,92;109,92;null;EUR;Saturday;10;Saturday;9;Mileage expense;FR;Soulac-sur-Mer;true;null;11;0
